Rank,Company Name,Legal / Official Name,Ticker Symbol,Stock Exchange,Country,Country Code (ISO-2),Headquarters,Industry,Sub-Industry,Ownership Type,Public / Private Status,Startup Stage,Market Capitalization,Official Website URL,Official Careers Portal URL,Glassdoor Rating,Global Workforce,Tech Stack,Verification Status,Content Quality Score
1,Apple,Apple Inc.,AAPL,NASDAQ,USA,US,"Cupertino, CA, USA",Information Technology,Consumer Electronics & Software,Public,Public,Public,$3.42 Trillion,https://www.apple.com,https://www.apple.com/careers/us,4.5,"161,000+","Swift, Objective-C, Metal, CoreML, C++, Python",VERIFIED,98
2,Microsoft,Microsoft Corporation,MSFT,NASDAQ,USA,US,"Redmond, WA, USA",Information Technology,Enterprise Software & Cloud Platforms,Public,Public,Public,$3.12 Trillion,https://www.microsoft.com,https://careers.microsoft.com,4.4,"221,000+","C#, .NET Core, TypeScript, Azure, Python",VERIFIED,98
3,Google,Alphabet Inc.,GOOGL,NASDAQ,USA,US,"Mountain View, CA, USA",Information Technology,"Search, Cloud & AI Research",Public,Public,Public,$2.2 Trillion,https://about.google,https://www.google.com/about/careers/applications,4.5,"182,000+","Python, C++, Java, Go, JAX, TensorFlow, Kubernetes",VERIFIED,98
4,Amazon,Amazon.com Inc.,AMZN,NASDAQ,USA,US,"Seattle, WA, USA",Retail & Commerce,"E-Commerce, Logistics & Cloud Infrastructure",Public,Public,Public,$1.95 Trillion,https://www.aboutamazon.com,https://www.amazon.jobs,4.1,"1,525,000+","Java, C++, Python, AWS DynamoDB, Rust, TypeScript",VERIFIED,97
5,Meta,Meta Platforms Inc.,META,NASDAQ,USA,US,"Menlo Park, CA, USA",Media & Technology,"Social Media, Virtual Reality & AI",Public,Public,Public,$1.25 Trillion,https://about.meta.com,https://www.metacareers.com,4.3,"67,000+","React, PyTorch, Hack/PHP, C++, Python, GraphQL",VERIFIED,96
6,NVIDIA,NVIDIA Corporation,NVDA,NASDAQ,USA,US,"Santa Clara, CA, USA",Semiconductors,"GPU Hardware, Accelerated Computing & AI Systems",Public,Public,Public,$3.05 Trillion,https://www.nvidia.com,https://www.nvidia.com/en-us/about-nvidia/careers,4.7,"29,600+","CUDA, C++, Python, LLVM, TensorRT",VERIFIED,98
7,Uber,Uber Technologies Inc.,UBER,NYSE,USA,US,"San Francisco, CA, USA",Automotive & Mobility,"Ridesharing, Delivery & Autonomous Tech",Public,Public,Public,$155 Billion,https://www.uber.com,https://www.uber.com/us/en/careers,4.2,"30,000+","Go, Java, Python, React, Kafka, MySQL",VERIFIED,96
8,Airbnb,Airbnb Inc.,ABNB,NASDAQ,USA,US,"San Francisco, CA, USA",Retail & Commerce,Short-Term Vacation Rentals & Travel Tech,Public,Public,Public,$88 Billion,https://www.airbnb.com,https://careers.airbnb.com,4.3,"6,900+","Java, Kotlin, Swift, React, Python, Presto",VERIFIED,96
9,Tata Consultancy Services,Tata Consultancy Services Limited,TCS,NSE / BSE,India,IN,"Mumbai, Maharashtra, India",Information Technology,IT Services & Enterprise Transformation,Public,Public,Public,₹14.2 Lakh Crore,https://www.tcs.com,https://www.tcs.com/careers,3.9,"601,000+","Java, Spring Boot, React, Python, AWS, Azure",VERIFIED,97
10,Infosys,Infosys Limited,INFY,NSE / BSE / NYSE,India,IN,"Bengaluru, Karnataka, India",Information Technology,Next-Gen Digital Services & AI Consulting,Public,Public,Public,₹7.1 Lakh Crore,https://www.infosys.com,https://www.infosys.com/careers.html,3.8,"317,000+","Python, FastAPI, React, AWS, Java, PostgreSQL",VERIFIED,96
11,Reliance Industries,Reliance Industries Limited,RELIANCE,NSE / BSE,India,IN,"Mumbai, Maharashtra, India",Media & Technology,"Telecommunications, 5G Cloud & Energy Conglomerate",Public,Public,Public,$242 Billion (₹20.5 Lakh Cr),https://www.ril.com,https://careers.jio.com,4.1,"389,000+","Kubernetes, Terraform, Python, Go, 5G Cloud Core",VERIFIED,97
12,HDFC Bank,HDFC Bank Limited,HDFCBANK,NSE / BSE / NYSE,India,IN,"Mumbai, Maharashtra, India",Banking & Financial Services,"Commercial Banking, Mobile Fintech & Payment Gateways",Public,Public,Public,₹12.8 Lakh Crore,https://www.hdfcbank.com,https://www.hdfcbank.com/aboutus/careers,3.9,"213,000+","Java, Spring Boot, Microservices, UPI Stack, Redis, Kafka",VERIFIED,96
13,SpaceX,Space Exploration Technologies Corp.,PRIVATE,Private,USA,US,"Hawthorne, CA, USA",Aerospace & Defense,Orbital Rocketry & Satellite Communications,Private,Private,Unicorn,$210 Billion (Valuation),https://www.spacex.com,https://www.spacex.com/careers,4.2,"13,000+","C++, C, Python, Linux, LabVIEW, Rust",VERIFIED,97
14,Stripe,Stripe Inc.,PRIVATE,Private,USA,US,"San Francisco, CA, USA",Fintech & Software,Global Financial Infrastructure & Payment APIs,Private,Private,Unicorn,$65 Billion (Valuation),https://stripe.com,https://stripe.com/jobs,4.4,"8,000+","Ruby, Sorbet, Go, TypeScript, React, AWS",VERIFIED,96
15,OpenAI,OpenAI OpCo LLC,PRIVATE,Private,USA,US,"San Francisco, CA, USA",Information Technology,Generative AI Research & Foundation Models,Private,Private,Unicorn,$157 Billion (Valuation),https://openai.com,https://openai.com/careers,4.6,"2,000+","Python, PyTorch, C++, CUDA, Azure AI, Triton",VERIFIED,98
16,Flipkart,Flipkart Private Limited,PRIVATE,Private,India,IN,"Bengaluru, Karnataka, India",Retail & Commerce,E-Commerce Platform & Logistics Fulfillment,Private,Private,Unicorn,$35 Billion (Valuation),https://www.flipkart.com,https://www.flipkartcareers.com,4.2,"45,000+","Java, React, Node.js, MySQL, Kafka, Hadoop",VERIFIED,96
17,Razorpay,Razorpay Software Private Limited,PRIVATE,Private,India,IN,"Bengaluru, Karnataka, India",Fintech & Software,Payment Gateway & Full-Stack Banking Suite,Private,Private,Unicorn,$7.5 Billion (Valuation),https://razorpay.com,https://razorpay.com/jobs,4.1,"3,200+","PHP/Laravel, Go, Node.js, React, AWS, MySQL",VERIFIED,95
18,PhonePe,PhonePe India Private Limited,PRIVATE,Private,India,IN,"Bengaluru, Karnataka, India",Fintech & Software,"UPI Digital Payments, Insurance & Merchant Solutions",Private,Private,Unicorn,$12 Billion (Valuation),https://www.phonepe.com,https://www.phonepe.com/careers,4.1,"6,000+","Java, Go, Python, HBase, Kafka, React Native",VERIFIED,96
19,Meesho,Fashnear Technologies Private Limited,PRIVATE,Private,India,IN,"Bengaluru, Karnataka, India",Retail & Commerce,Social E-Commerce & Tier 2/3 Retail Marketplace,Private,Private,Unicorn,$5.0 Billion (Valuation),https://www.meesho.com,https://www.meesho.io/careers,4.0,"2,200+","Python, Java, Go, React Native, PostgreSQL, AWS",VERIFIED,95
20,Bharti Airtel,Bharti Airtel Limited,BHARTIARTL,NSE / BSE,India,IN,"New Delhi, Delhi, India",Media & Technology,Telecommunications & Digital Mobility,Public,Public,Public,$115 Billion,https://www.airtel.in,https://www.airtel.in/careers,4.0,"68,000+","Java, Python, Kafka, 5G Core, React",VERIFIED,96
21,State Bank of India,State Bank of India,SBIN,NSE / BSE,India,IN,"Mumbai, Maharashtra, India",Banking & Financial Services,Public Sector Banking & YONO Digital App Platform,Public,Public,Public,$92 Billion,https://www.sbi.co.in,https://bank.sbi/web/careers,3.9,"232,000+","Java, Spring Boot, Oracle, Python, Android SDK",VERIFIED,96
22,Larsen & Toubro,Larsen & Toubro Limited,LT,NSE / BSE,India,IN,"Mumbai, Maharashtra, India",Information Technology,"EPC Engineering, High-Tech Infrastructure & Technology Services",Public,Public,Public,$58 Billion,https://www.larsentoubro.com,https://www.larsentoubro.com/careers,4.1,"135,000+","CAD, Primavera, Java, Python, SAP S/4HANA",VERIFIED,96
23,LIC of India,Life Insurance Corporation of India,LICI,NSE / BSE,India,IN,"Mumbai, Maharashtra, India",Banking & Financial Services,"Life Insurance, Asset Management & Institutional Investments",Public,Public,Public,$68 Billion,https://licindia.in,https://licindia.in/bottomlink/careers,4.1,"105,000+","Java, Oracle, COBOL, Python, Linux",VERIFIED,96
