Rank,Company Name,Official / Legal Name,Slug,Ticker Symbol,Stock Exchange,Market Cap,Country,Country Code (ISO-2),Headquarters,Industry,Sub-Industry,Official Website URL,Official Careers Portal URL
1,Apple,Apple Inc.,apple,AAPL,NASDAQ,$3.42 Trillion,USA,US,"Cupertino, CA, USA",Information Technology,Consumer Electronics & Software,https://www.apple.com,https://www.apple.com/careers/us
2,Microsoft,Microsoft Corporation,microsoft,MSFT,NASDAQ,$3.12 Trillion,USA,US,"Redmond, WA, USA",Information Technology,Enterprise Software & Cloud Platforms,https://www.microsoft.com,https://careers.microsoft.com
3,Google,Alphabet Inc.,google,GOOGL,NASDAQ,$2.2 Trillion,USA,US,"Mountain View, CA, USA",Information Technology,"Search, Cloud & AI Research",https://about.google,https://www.google.com/about/careers/applications
4,Amazon,Amazon.com Inc.,amazon,AMZN,NASDAQ,$1.95 Trillion,USA,US,"Seattle, WA, USA",Retail & Commerce,"E-Commerce, Logistics & Cloud Infrastructure",https://www.aboutamazon.com,https://www.amazon.jobs
5,Meta,Meta Platforms Inc.,meta,META,NASDAQ,$1.25 Trillion,USA,US,"Menlo Park, CA, USA",Media & Technology,"Social Media, Virtual Reality & AI",https://about.meta.com,https://www.metacareers.com
6,NVIDIA,NVIDIA Corporation,nvidia,NVDA,NASDAQ,$3.05 Trillion,USA,US,"Santa Clara, CA, USA",Semiconductors,"GPU Hardware, Accelerated Computing & AI Systems",https://www.nvidia.com,https://www.nvidia.com/en-us/about-nvidia/careers
7,Uber,Uber Technologies Inc.,uber,UBER,NYSE,$155 Billion,USA,US,"San Francisco, CA, USA",Automotive & Mobility,"Ridesharing, Delivery & Autonomous Tech",https://www.uber.com,https://www.uber.com/us/en/careers
8,Airbnb,Airbnb Inc.,airbnb,ABNB,NASDAQ,$88 Billion,USA,US,"San Francisco, CA, USA",Retail & Commerce,Short-Term Vacation Rentals & Travel Tech,https://www.airbnb.com,https://careers.airbnb.com
9,Tata Consultancy Services,Tata Consultancy Services Limited,tata-consultancy-services,TCS,NSE / BSE,₹14.2 Lakh Crore,India,IN,"Mumbai, Maharashtra, India",Information Technology,IT Services & Enterprise Transformation,https://www.tcs.com,https://www.tcs.com/careers
10,Infosys,Infosys Limited,infosys,INFY,NSE / BSE / NYSE,₹7.1 Lakh Crore,India,IN,"Bengaluru, Karnataka, India",Information Technology,Next-Gen Digital Services & AI Consulting,https://www.infosys.com,https://www.infosys.com/careers.html
11,Reliance Industries,Reliance Industries Limited,reliance-industries,RELIANCE,NSE / BSE,$242 Billion (₹20.5 Lakh Cr),India,IN,"Mumbai, Maharashtra, India",Media & Technology,"Telecommunications, 5G Cloud & Energy Conglomerate",https://www.ril.com,https://careers.jio.com
12,HDFC Bank,HDFC Bank Limited,hdfc-bank,HDFCBANK,NSE / BSE / NYSE,₹12.8 Lakh Crore,India,IN,"Mumbai, Maharashtra, India",Banking & Financial Services,"Commercial Banking, Mobile Fintech & Payment Gateways",https://www.hdfcbank.com,https://www.hdfcbank.com/aboutus/careers
13,SpaceX,Space Exploration Technologies Corp.,spacex,PRIVATE,Private,$210 Billion (Valuation),USA,US,"Hawthorne, CA, USA",Aerospace & Defense,Orbital Rocketry & Satellite Communications,https://www.spacex.com,https://www.spacex.com/careers
14,Stripe,Stripe Inc.,stripe,PRIVATE,Private,$65 Billion (Valuation),USA,US,"San Francisco, CA, USA",Fintech & Software,Global Financial Infrastructure & Payment APIs,https://stripe.com,https://stripe.com/jobs
15,OpenAI,OpenAI OpCo LLC,openai,PRIVATE,Private,$157 Billion (Valuation),USA,US,"San Francisco, CA, USA",Information Technology,Generative AI Research & Foundation Models,https://openai.com,https://openai.com/careers
16,Flipkart,Flipkart Private Limited,flipkart,PRIVATE,Private,$35 Billion (Valuation),India,IN,"Bengaluru, Karnataka, India",Retail & Commerce,E-Commerce Platform & Logistics Fulfillment,https://www.flipkart.com,https://www.flipkartcareers.com
17,Razorpay,Razorpay Software Private Limited,razorpay,PRIVATE,Private,$7.5 Billion (Valuation),India,IN,"Bengaluru, Karnataka, India",Fintech & Software,Payment Gateway & Full-Stack Banking Suite,https://razorpay.com,https://razorpay.com/jobs
18,PhonePe,PhonePe India Private Limited,phonepe,PRIVATE,Private,$12 Billion (Valuation),India,IN,"Bengaluru, Karnataka, India",Fintech & Software,"UPI Digital Payments, Insurance & Merchant Solutions",https://www.phonepe.com,https://www.phonepe.com/careers
19,Meesho,Fashnear Technologies Private Limited,meesho,PRIVATE,Private,$5.0 Billion (Valuation),India,IN,"Bengaluru, Karnataka, India",Retail & Commerce,Social E-Commerce & Tier 2/3 Retail Marketplace,https://www.meesho.com,https://www.meesho.io/careers
20,Bharti Airtel,Bharti Airtel Limited,bharti-airtel,BHARTIARTL,NSE / BSE,$115 Billion,India,IN,"New Delhi, Delhi, India",Media & Technology,Telecommunications & Digital Mobility,https://www.airtel.in,https://www.airtel.in/careers
21,State Bank of India,State Bank of India,state-bank-of-india,SBIN,NSE / BSE,$92 Billion,India,IN,"Mumbai, Maharashtra, India",Banking & Financial Services,Public Sector Banking & YONO Digital App Platform,https://www.sbi.co.in,https://bank.sbi/web/careers
22,Larsen & Toubro,Larsen & Toubro Limited,larsen-and-toubro,LT,NSE / BSE,$58 Billion,India,IN,"Mumbai, Maharashtra, India",Information Technology,"EPC Engineering, High-Tech Infrastructure & Technology Services",https://www.larsentoubro.com,https://www.larsentoubro.com/careers
23,LIC of India,Life Insurance Corporation of India,life-insurance-corporation-of-india,LICI,NSE / BSE,$68 Billion,India,IN,"Mumbai, Maharashtra, India",Banking & Financial Services,"Life Insurance, Asset Management & Institutional Investments",https://licindia.in,https://licindia.in/bottomlink/careers
24,ICICI BankIBN,ICICI BankIBN Corp,icici-bank,ICICI-BA,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.icici-bank.com,https://www.icici-bank.com/careers
25,Bajaj FinanceBAJFINANCE.NS,Bajaj FinanceBAJFINANCE.NS Corp,bajaj-finance,BAJAJ-FI,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.bajaj-finance.com,https://www.bajaj-finance.com/careers
26,Adani EnterprisesADANIENT.NS,Adani EnterprisesADANIENT.NS Corp,adani-enterprises,ADANI-EN,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.adani-enterprises.com,https://www.adani-enterprises.com/careers
27,Titan CompanyTITAN.NS,Titan CompanyTITAN.NS Corp,titan-company,TITAN-CO,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.titan-company.com,https://www.titan-company.com/careers
28,Adani PowerADANIPOWER.NS,Adani PowerADANIPOWER.NS Corp,adani-power,ADANI-PO,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.adani-power.com,https://www.adani-power.com/careers
